Data As Of,Start Date,End Date,Group,Year,Month,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,1636,1636,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,4320,4320,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,10528,10528,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,20601,20601,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,26822,26822,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,20211,20211,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,11015,11015,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,1,1,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,95550,95550,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,0-24,848,887,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,25-34,3522,3573,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,35-44,9604,9738,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,45-54,24875,25219,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,55-64,56342,57502,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,65-74,89222,91782,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,75-84,95095,98053,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,85+,76742,78602,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,Not stated,5,5,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,All Ages,356255,365361,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,0-24,58,58,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,25-34,186,186,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,35-44,464,464,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,45-54,1103,1103,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,55-64,2511,2511,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,65-74,3951,3951,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,75-84,4852,4852,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,85+,5453,5453,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,0,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,All Ages,18578,18578,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,224,244,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,605,649,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,1472,1577,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,3358,3609,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,7136,7671,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,10393,11044,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,10749,11263,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,8659,8921,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,0,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,42596,44978,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,74,74,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,692,701,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,2951,2968,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,8871,8927,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,22485,22650,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,37960,38212,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,44531,44930,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,85+,48009,48805,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,5,5,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,165578,167272,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,26,28,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,194,204,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,774,837,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,3151,3370,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,10219,11005,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,21180,22739,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,28920,30806,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,85+,29654,31381,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,4,4,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,94122,100374,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,0-24,366,366,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,25-34,1363,1365,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,35-44,3466,3467,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,45-54,8680,8681,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,55-64,18021,18027,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,65-74,25945,25947,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,75-84,26333,26340,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,85+,23562,23567,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,Not stated,1,1,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrest,I46,All Ages,107737,107761,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,60,62,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,229,237,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,598,615,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,1991,2043,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,6109,6270,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,13318,13648,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,20506,20972,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,24242,24731,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,0,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,67053,68578,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Heart failure,I50,0-24,51,51,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Heart failure,I50,25-34,233,233,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Heart failure,I50,35-44,649,649,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Heart failure,I50,45-54,2002,2005,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Heart failure,I50,55-64,5750,5753,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Heart failure,I50,65-74,12430,12444,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Heart failure,I50,75-84,19458,19478,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Heart failure,I50,85+,26181,26204,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Heart failure,I50,Not stated,1,1,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Heart failure,I50,All Ages,66755,66818,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,70,75,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,219,232,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,650,682,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,1890,1975,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,5230,5423,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,9621,9884,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,12006,12326,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,12908,13259,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,1,1,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,42595,43857,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,312,356,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,834,936,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,2001,2265,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,4744,5259,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,10013,10999,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,14792,16179,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,15823,17259,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,15256,16647,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,1,1,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,63776,69901,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Sepsis,Sepsis,A40-A41,0-24,302,303,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Sepsis,Sepsis,A40-A41,25-34,1086,1087,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Sepsis,Sepsis,A40-A41,35-44,3119,3123,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Sepsis,Sepsis,A40-A41,45-54,7975,7977,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Sepsis,Sepsis,A40-A41,55-64,17369,17379,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Sepsis,Sepsis,A40-A41,65-74,24843,24851,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Sepsis,Sepsis,A40-A41,75-84,21210,21214,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Sepsis,Sepsis,A40-A41,85+,12781,12784,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Sepsis,Sepsis,A40-A41,Not stated,1,1,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Sepsis,Sepsis,A40-A41,All Ages,88686,88719,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,114,128,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,191,216,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,563,658,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,1853,2208,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,6338,7350,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,12445,14219,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,13572,15355,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,9751,10861,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,0,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,44827,50995,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Diabetes,Diabetes,E10-E14,0-24,237,239,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Diabetes,Diabetes,E10-E14,25-34,1051,1061,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Diabetes,Diabetes,E10-E14,35-44,3706,3752,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Diabetes,Diabetes,E10-E14,45-54,10641,10717,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Diabetes,Diabetes,E10-E14,55-64,24363,24532,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Diabetes,Diabetes,E10-E14,65-74,37824,38048,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Diabetes,Diabetes,E10-E14,75-84,35759,35973,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Diabetes,Diabetes,E10-E14,85+,23128,23236,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Diabetes,Diabetes,E10-E14,Not stated,4,4,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Diabetes,Diabetes,E10-E14,All Ages,136713,137562,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Obesity,Obesity,E65-E68,0-24,604,605,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Obesity,Obesity,E65-E68,25-34,2435,2442,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Obesity,Obesity,E65-E68,35-44,5110,5128,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Obesity,Obesity,E65-E68,45-54,8578,8596,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Obesity,Obesity,E65-E68,55-64,11741,11762,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Obesity,Obesity,E65-E68,65-74,10550,10572,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Obesity,Obesity,E65-E68,75-84,5070,5083,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Obesity,Obesity,E65-E68,85+,1184,1184,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Obesity,Obesity,E65-E68,Not stated,1,1,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Obesity,Obesity,E65-E68,All Ages,45273,45373,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,0-24,0,0,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,25-34,1,1,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,35-44,3,3,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,45-54,29,29,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,55-64,223,223,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,65-74,1738,1738,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,75-84,7608,7618,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,85+,16475,16521,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,Not stated,0,0,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Alzheimer disease,Alzheimer disease,G30,All Ages,26077,26133,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,0,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,2,2,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,10,10,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,70,70,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,937,938,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,6067,6080,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,21272,21310,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,42170,42234,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,2,2,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,70530,70646,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Renal failure,Renal failure,N17-N19,0-24,197,202,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Renal failure,Renal failure,N17-N19,25-34,952,976,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Renal failure,Renal failure,N17-N19,35-44,2741,2803,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Renal failure,Renal failure,N17-N19,45-54,7463,7660,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Renal failure,Renal failure,N17-N19,55-64,16349,16921,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Renal failure,Renal failure,N17-N19,65-74,25087,26257,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Renal failure,Renal failure,N17-N19,75-84,24658,25982,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Renal failure,Renal failure,N17-N19,85+,19231,20346,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Renal failure,Renal failure,N17-N19,Not stated,2,3,
2/13/22,1/1/20,2/12/22,By Total,,,United States,Renal failure,Renal failure,N17-N19,All Ages,96680,101150,
2/13/22,1/1/20,2/12/22,By Total,,,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,199,518,
2/13/22,1/1/20,2/12/22,By Total,,,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,463,1207,
2/13/22,1/1/20,2/12/22,By Total,,,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,826,1811,
2/13/22,1/1/20,2/12/22,By Total,,,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,1501,2862,
2/13/22,1/1/20,2/12/22,By Total,,,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,2914,5135,
2/13/22,1/1/20,2/12/22,By Total,,,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,4329,7271,
2/13/22,1/1/20,2/12/22,By Total,,,United States,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,4668,8437,
